anio,mes,dia,hora(utc),altura(mm)
2016,6,9,2,819 
2016,6,9,3,482 
2016,6,9,4,176 
2016,6,9,5,-24 
2016,6,9,6,-78 
2016,6,9,7,19 
2016,6,9,8,240 
2016,6,9,9,528 
2016,6,9,10,803 
2016,6,9,11,994 
2016,6,9,12,1055 
2016,6,9,13,971 
2016,6,9,14,767 
2016,6,9,15,496 
2016,6,9,16,231 
2016,6,9,17,47 
2016,6,9,18,-10 
2016,6,9,19,74 
2016,6,9,20,282 
2016,6,9,21,572 
2016,6,9,22,874 
2016,6,9,23,1112 
2016,6,10,0,1226 
2016,6,10,1,1190 
2016,6,10,2,1009 
2016,6,10,3,725 
2016,6,10,4,409 
2016,6,10,5,140 
2016,6,10,6,-22 
2016,6,10,7,-43 
2016,6,10,8,77 
2016,6,10,9,307 
2016,6,10,10,587 
2016,6,10,11,843 
2016,6,10,12,1009 
2016,6,10,13,1047 
2016,6,10,14,949 
2016,6,10,15,743 
2016,6,10,16,486 
2016,6,10,17,247 
2016,6,10,18,91 
2016,6,10,19,54 
2016,6,10,20,144 
2016,6,10,21,347 
2016,6,10,22,616 
2016,6,10,23,883 
2016,6,11,0,1079 
2016,6,11,1,1155 
2016,6,11,2,1092 
2016,6,11,3,901 
2016,6,11,4,630 
2016,6,11,5,348 
2016,6,11,6,121 
2016,6,11,7,0 
2016,6,11,8,12 
2016,6,11,9,151 
2016,6,11,10,383 
2016,6,11,11,648 
2016,6,11,12,877 
2016,6,11,13,1014 
2016,6,11,14,1027 
2016,6,11,15,917 
2016,6,11,16,716 
2016,6,11,17,479 
2016,6,11,18,270 
2016,6,11,19,140 
2016,6,11,20,120 
2016,6,11,21,217 
2016,6,11,22,409 
2016,6,11,23,651 
2016,6,12,0,878 
2016,6,12,1,1030 
2016,6,12,2,1069 
2016,6,12,3,985 
2016,6,12,4,794 
2016,6,12,5,546 
2016,6,12,6,302 
2016,6,12,7,118 
2016,6,12,8,38 
2016,6,12,9,80 
2016,6,12,10,233 
2016,6,12,11,461 
2016,6,12,12,705 
2016,6,12,13,904 
2016,6,12,14,1010 
2016,6,12,15,1002 
2016,6,12,16,884 
2016,6,12,17,692 
2016,6,12,18,477 
2016,6,12,19,294 
2016,6,12,20,188 
2016,6,12,21,183 
2016,6,12,22,281 
2016,6,12,23,460 
2016,6,13,0,671 
2016,6,13,1,856 
2016,6,13,2,968 
2016,6,13,3,978 
2016,6,13,4,881 
2016,6,13,5,699 
2016,6,13,6,478 
2016,6,13,7,272 
2016,6,13,8,129 
2016,6,13,9,85 
2016,6,13,10,152 
2016,6,13,11,314 
2016,6,13,12,534 
2016,6,13,13,755 
2016,6,13,14,925 
2016,6,13,15,1004 
2016,6,13,16,977 
